YYYY-MM-DD
YYYYThhmm
YYYY hhmmZ
YYYYThhmmZ
YYYY hhmm+hh:mm
YYYYThhmm+hh:mm
YYYY hhmm+hhmm
YYYYThhmm+hhmm
YYYY hhmm+hh
YYYYThhmm+hh
YYYY hhmm-hh:mm
YYYYThhmm-hh:mm
YYYY hhmm-hhmm
YYYYThhmm-hhmm
YYYY hhmm-hh
YYYYThhmm-hh
YYYY hh
YYYYThh
YYYY hhZ
YYYYThhZ
YYYY hh+hh:mm
YYYYThh+hh:mm
YYYY hh+hhmm
YYYYThh+hhmm
YYYY hh+hh
YYYYThh+hh
YYYY hh-hh:mm
YYYYThh-hh:mm
YYYY hh-hhmm
YYYYThh-hhmm
YYYY hh-hh
YYYYThh-hh
YYYYMMDD
YYYYMMDD hh:mm:ss.sss
YYYYMMDDThh:mm:ss.sss
YYYYMMDD hh:mm:ss.sssZ
YYYYMMDDThh:mm:ss.sssZ
YYYYMMDD hh:mm:ss.sss+hh:mm
YYYYMMDDThh:mm:ss.sss+hh:mm
YYYYMMDD hh:mm:ss.sss+hhmm
YYYYMMDDThh:mm:ss.sss+hhmm
YYYYMMDD hh:mm:ss.sss+hh
YYYYMMDDThh:mm:ss.sss+hh
YYYYMMDD hh:mm:ss.sss-hh:mm
YYYYMMDDThh:mm:ss.sss-hh:mm
YYYYMMDD hh:mm:ss.sss-hhmm
YYYYMMDDThh:mm:ss.sss-hhmm
YYYYMMDD hh:mm:ss.sss-hh
YYYYMMDDThh:mm:ss.sss-hh
YYYYMMDD hhmmss.sss
YYYYMMDDThhmmss.sss
YYYYMMDD hhmmss.sssZ
YYYYMMDDThhmmss.sssZ
YYYYMMDD hhmmss.sss+hh:mm
YYYYMMDDThhmmss.sss+hh:mm
YYYYMMDD hhmmss.sss+hhmm
YYYYMMDDThhmmss.sss+hhmm
YYYYMMDD hhmmss.sss+hh
YYYYMMDDThhmmss.sss+hh
YYYYMMDD hhmmss.sss-hh:mm
YYYYMMDDThhmmss.sss-hh:mm
YYYYMMDD hhmmss.sss-hhmm
YYYYMMDDThhmmss.sss-hhmm
YYYYMMDD hhmmss.sss-hh
YYYYMMDDThhmmss.sss-hh
YYYYMMDD hh:mm:ss
YYYYMMDDThh:mm:ss
YYYYMMDD hh:mm:ssZ
YYYYMMDDThh:mm:ssZ
YYYYMMDD hh:mm:ss+hh:mm
YYYYMMDDThh:mm:ss+hh:mm
YYYYMMDD hh:mm:ss+hhmm
YYYYMMDDThh:mm:ss+hhmm
YYYYMMDD hh:mm:ss+hh
YYYYMMDDThh:mm:ss+hh
YYYYMMDD hh:mm:ss-hh:mm
YYYYMMDDThh:mm:ss-hh:mm
YYYYMMDD hh:mm:ss-hhmm
YYYYMMDDThh:mm:ss-hhmm
YYYYMMDD hh:mm:ss-hh
YYYYMMDDThh:mm:ss-hh
YYYYMMDD hhmmss
YYYYMMDDThhmmss
YYYYMMDD hhmmssZ
YYYYMMDDThhmmssZ
YYYYMMDD hhmmss+hh:mm
YYYYMMDDThhmmss+hh:mm
YYYYMMDD hhmmss+hhmm
YYYYMMDDThhmmss+hhmm
YYYYMMDD hhmmss+hh
YYYYMMDDThhmmss+hh
YYYYMMDD hhmmss-hh:mm
YYYYMMDDThhmmss-hh:mm
YYYYMMDD hhmmss-hhmm
YYYYMMDDThhmmss-hhmm
YYYYMMDD hhmmss-hh
YYYYMMDDThhmmss-hh
YYYYMMDD hh:mm
YYYYMMDDThh:mm
YYYYMMDD hh:mmZ
YYYYMMDDThh:mmZ
YYYYMMDD hh:mm+hh:mm
YYYYMMDDThh:mm+hh:mm
YYYYMMDD hh:mm+hhmm
YYYYMMDDThh:mm+hhmm
YYYYMMDD hh:mm+hh
YYYYMMDDThh:mm+hh
YYYYMMDD hh:mm-hh:mm
YYYYMMDDThh:mm-hh:mm
YYYYMMDD hh:mm-hhmm
YYYYMMDDThh:mm-hhmm
YYYYMMDD hh:mm-hh
YYYYMMDDThh:mm-hh
YYYYMMDD hhmm
YYYYMMDDThhmm
YYYYMMDD hhmmZ
YYYYMMDDThhmmZ
YYYYMMDD hhmm+hh:mm
YYYYMMDDThhmm+hh:mm
YYYYMMDD hhmm+hhmm
YYYYMMDDThhmm+hhmm
YYYYMMDD hhmm+hh
YYYYMMDDThhmm+hh
YYYYMMDD hhmm-hh:mm
YYYYMMDDThhmm-hh:mm
YYYYMMDD hhmm-hhmm
YYYYMMDDThhmm-hhmm
YYYYMMDD hhmm-hh
YYYYMMDDThhmm-hh
YYYYMMDD hh
YYYYMMDDThh
YYYYMMDD hhZ
YYYYMMDDThhZ
YYYYMMDD hh+hh:mm
YYYYMMDDThh+hh:mm
YYYYMMDD hh+hhmm
YYYYMMDDThh+hhmm
YYYYMMDD hh+hh
YYYYMMDDThh+hh
YYYYMMDD hh-hh:mm
YYYYMMDDThh-hh:mm
YYYYMMDD hh-hhmm
YYYYMMDDThh-hhmm
YYYYMMDD hh-hh
YYYYMMDDThh-hh
YYYY-MM
YYYY-MM hh:mm:ss.sss
YYYY-MMThh:mm:ss.sss
YYYY-MM hh:mm:ss.sssZ
YYYY-MMThh:mm:ss.sssZ
YYYY-MM hh:mm:ss.sss+hh:mm
YYYY-MMThh:mm:ss.sss+hh:mm
YYYY-MM hh:mm:ss.sss+hhmm
YYYY-MMThh:mm:ss.sss+hhmm
YYYY-MM hh:mm:ss.sss+hh
YYYY-MMThh:mm:ss.sss+hh
YYYY-MM hh:mm:ss.sss-hh:mm
YYYY-MMThh:mm:ss.sss-hh:mm
YYYY-MM hh:mm:ss.sss-hhmm
YYYY-MMThh:mm:ss.sss-hhmm
YYYY-MM hh:mm:ss.sss-hh
YYYY-MMThh:mm:ss.sss-hh
YYYY-MM hhmmss.sss
YYYY-MMThhmmss.sss
YYYY-MM hhmmss.sssZ
YYYY-MMThhmmss.sssZ
YYYY-MM hhmmss.sss+hh:mm
YYYY-MMThhmmss.sss+hh:mm
YYYY-MM hhmmss.sss+hhmm
YYYY-MMThhmmss.sss+hhmm
YYYY-MM hhmmss.sss+hh
YYYY-MMThhmmss.sss+hh
YYYY-MM hhmmss.sss-hh:mm
YYYY-MMThhmmss.sss-hh:mm
YYYY-MM hhmmss.sss-hhmm
YYYY-MMThhmmss.sss-hhmm
YYYY-MM hhmmss.sss-hh
YYYY-MMThhmmss.sss-hh
YYYY-MM hh:mm:ss
YYYY-MMThh:mm:ss
YYYY-MM hh:mm:ssZ
YYYY-MMThh:mm:ssZ
YYYY-MM hh:mm:ss+hh:mm
YYYY-MMThh:mm:ss+hh:mm
YYYY-MM hh:mm:ss+hhmm
YYYY-MMThh:mm:ss+hhmm
YYYY-MM hh:mm:ss+hh
YYYY-MMThh:mm:ss+hh
YYYY-MM hh:mm:ss-hh:mm
YYYY-MMThh:mm:ss-hh:mm
YYYY-MM hh:mm:ss-hhmm
YYYY-MMThh:mm:ss-hhmm
YYYY-MM hh:mm:ss-hh
YYYY-MMThh:mm:ss-hh
YYYY-MM hhmmss
YYYY-MMThhmmss
YYYY-MM hhmmssZ
YYYY-MMThhmmssZ
YYYY-MM hhmmss+hh:mm
YYYY-MMThhmmss+hh:mm
YYYY-MM hhmmss+hhmm
YYYY-MMThhmmss+hhmm
YYYY-MM hhmmss+hh
YYYY-MMThhmmss+hh
YYYY-MM hhmmss-hh:mm
YYYY-MMThhmmss-hh:mm
YYYY-MM hhmmss-hhmm
YYYY-MMThhmmss-hhmm
YYYY-MM hhmmss-hh
YYYY-MMThhmmss-hh
YYYY-MM hh:mm
YYYY-MMThh:mm
YYYY-MM hh:mmZ
YYYY-MMThh:mmZ
YYYY-MM hh:mm+hh:mm
YYYY-MMThh:mm+hh:mm
YYYY-MM hh:mm+hhmm
YYYY-MMThh:mm+hhmm
YYYY-MM hh:mm+hh
YYYY-MMThh:mm+hh
YYYY-MM hh:mm-hh:mm
YYYY-MMThh:mm-hh:mm
YYYY-MM hh:mm-hhmm
YYYY-MMThh:mm-hhmm
YYYY-MM hh:mm-hh
YYYY-MMThh:mm-hh
YYYY-MM hhmm
YYYY-MMThhmm
YYYY-MM hhmmZ
YYYY-MMThhmmZ
YYYY-MM hhmm+hh:mm
YYYY-MMThhmm+hh:mm
YYYY-MM hhmm+hhmm
YYYY-MMThhmm+hhmm
YYYY-MM hhmm+hh
YYYY-MMThhmm+hh
YYYY-MM hhmm-hh:mm
YYYY-MMThhmm-hh:mm
YYYY-MM hhmm-hhmm
YYYY-MMThhmm-hhmm
YYYY-MM hhmm-hh
YYYY-MMThhmm-hh
YYYY-MM hh
YYYY-MMThh
YYYY-MM hhZ
YYYY-MMThhZ
YYYY-MM hh+hh:mm
YYYY-MMThh+hh:mm
YYYY-MM hh+hhmm
YYYY-MMThh+hhmm
YYYY-MM hh+hh
YYYY-MMThh+hh
YYYY-MM hh-hh:mm
YYYY-MMThh-hh:mm
YYYY-MM hh-hhmm
YYYY-MMThh-hhmm
YYYY-MM hh-hh
YYYY-MMThh-hh
YYYYMM
YYYYMM hh:mm:ss.sss
YYYYMMThh:mm:ss.sss
YYYYMM hh:mm:ss.sssZ
YYYYMMThh:mm:ss.sssZ
YYYYMM hh:mm:ss.sss+hh:mm
YYYYMMThh:mm:ss.sss+hh:mm
YYYYMM hh:mm:ss.sss+hhmm
YYYYMMThh:mm:ss.sss+hhmm
YYYYMM hh:mm:ss.sss+hh
YYYYMMThh:mm:ss.sss+hh
YYYYMM hh:mm:ss.sss-hh:mm
YYYYMMThh:mm:ss.sss-hh:mm
YYYYMM hh:mm:ss.sss-hhmm
YYYYMMThh:mm:ss.sss-hhmm
YYYYMM hh:mm:ss.sss-hh
YYYYMMThh:mm:ss.sss-hh
YYYYMM hhmmss.sss
YYYYMMThhmmss.sss
YYYYMM hhmmss.sssZ
YYYYMMThhmmss.sssZ
YYYYMM hhmmss.sss+hh:mm
YYYYMMThhmmss.sss+hh:mm
YYYYMM hhmmss.sss+hhmm
YYYYMMThhmmss.sss+hhmm
YYYYMM hhmmss.sss+hh
YYYYMMThhmmss.sss+hh
YYYYMM hhmmss.sss-hh:mm
YYYYMMThhmmss.sss-hh:mm
YYYYMM hhmmss.sss-hhmm
YYYYMMThhmmss.sss-hhmm
YYYYMM hhmmss.sss-hh
YYYYMMThhmmss.sss-hh
YYYYMM hh:mm:ss
YYYYMMThh:mm:ss
YYYYMM hh:mm:ssZ
YYYYMMThh:mm:ssZ
YYYYMM hh:mm:ss+hh:mm
YYYYMMThh:mm:ss+hh:mm
YYYYMM hh:mm:ss+hhmm
YYYYMMThh:mm:ss+hhmm
YYYYMM hh:mm:ss+hh
YYYYMMThh:mm:ss+hh
YYYYMM hh:mm:ss-hh:mm
YYYYMMThh:mm:ss-hh:mm
YYYYMM hh:mm:ss-hhmm
YYYYMMThh:mm:ss-hhmm
YYYYMM hh:mm:ss-hh
YYYYMMThh:mm:ss-hh
YYYYMM hhmmss
YYYYMMThhmmss
YYYYMM hhmmssZ
YYYYMMThhmmssZ
YYYYMM hhmmss+hh:mm
YYYYMMThhmmss+hh:mm
YYYYMM hhmmss+hhmm
YYYYMMThhmmss+hhmm
YYYYMM hhmmss+hh
YYYYMMThhmmss+hh
YYYYMM hhmmss-hh:mm
YYYYMMThhmmss-hh:mm
YYYYMM hhmmss-hhmm
YYYYMMThhmmss-hhmm
YYYYMM hhmmss-hh
YYYYMMThhmmss-hh
YYYYMM hh:mm
YYYYMMThh:mm
YYYYMM hh:mmZ
YYYYMMThh:mmZ
YYYYMM hh:mm+hh:mm
YYYYMMThh:mm+hh:mm
YYYYMM hh:mm+hhmm
YYYYMMThh:mm+hhmm
YYYYMM hh:mm+hh
YYYYMMThh:mm+hh
YYYYMM hh:mm-hh:mm
YYYYMMThh:mm-hh:mm
YYYYMM hh:mm-hhmm
YYYYMMThh:mm-hhmm
YYYYMM hh:mm-hh
YYYYMMThh:mm-hh
YYYYMM hhmm
YYYYMMThhmm
YYYYMM hhmmZ
YYYYMMThhmmZ
YYYYMM hhmm+hh:mm
YYYYMMThhmm+hh:mm
YYYYMM hhmm+hhmm
YYYYMMThhmm+hhmm
YYYYMM hhmm+hh
YYYYMMThhmm+hh
YYYYMM hhmm-hh:mm
YYYYMMThhmm-hh:mm
YYYYMM hhmm-hhmm
YYYYMMThhmm-hhmm
YYYYMM hhmm-hh
YYYYMMThhmm-hh
YYYYMM hh
YYYYMMThh
YYYYMM hhZ
YYYYMMThhZ
YYYYMM hh+hh:mm
YYYYMMThh+hh:mm
YYYYMM hh+hhmm
YYYYMMThh+hhmm
YYYYMM hh+hh
YYYYMMThh+hh
YYYYMM hh-hh:mm
YYYYMMThh-hh:mm
YYYYMM hh-hhmm
YYYYMMThh-hhmm
YYYYMM hh-hh
YYYYMMThh-hh
YYYY-DDD
YYYY-DDD hh:mm:ss.sss
YYYY-DDDThh:mm:ss.sss
YYYY-DDD hh:mm:ss.sssZ
YYYY-DDDThh:mm:ss.sssZ
YYYY-DDD hh:mm:ss.sss+hh:mm
YYYY-DDDThh:mm:ss.sss+hh:mm
YYYY-DDD hh:mm:ss.sss+hhmm
YYYY-DDDThh:mm:ss.sss+hhmm
YYYY-DDD hh:mm:ss.sss+hh
YYYY-DDDThh:mm:ss.sss+hh
YYYY-DDD hh:mm:ss.sss-hh:mm
YYYY-DDDThh:mm:ss.sss-hh:mm
YYYY-DDD hh:mm:ss.sss-hhmm
YYYY-DDDThh:mm:ss.sss-hhmm
YYYY-DDD hh:mm:ss.sss-hh
YYYY-DDDThh:mm:ss.sss-hh
YYYY-DDD hhmmss.sss
YYYY-DDDThhmmss.sss
YYYY-DDD hhmmss.sssZ
YYYY-DDDThhmmss.sssZ
YYYY-DDD hhmmss.sss+hh:mm
YYYY-DDDThhmmss.sss+hh:mm
YYYY-DDD hhmmss.sss+hhmm
YYYY-DDDThhmmss.sss+hhmm
YYYY-DDD hhmmss.sss+hh
YYYY-DDDThhmmss.sss+hh
YYYY-DDD hhmmss.sss-hh:mm
YYYY-DDDThhmmss.sss-hh:mm
YYYY-DDD hhmmss.sss-hhmm
YYYY-DDDThhmmss.sss-hhmm
YYYY-DDD hhmmss.sss-hh
YYYY-DDDThhmmss.sss-hh
YYYY-DDD hh:mm:ss
YYYY-DDDThh:mm:ss
YYYY-DDD hh:mm:ssZ
YYYY-DDDThh:mm:ssZ
YYYY-DDD hh:mm:ss+hh:mm
YYYY-DDDThh:mm:ss+hh:mm
YYYY-DDD hh:mm:ss+hhmm
YYYY-DDDThh:mm:ss+hhmm
YYYY-DDD hh:mm:ss+hh
YYYY-DDDThh:mm:ss+hh
YYYY-DDD hh:mm:ss-hh:mm
YYYY-DDDThh:mm:ss-hh:mm
YYYY-DDD hh:mm:ss-hhmm
YYYY-DDDThh:mm:ss-hhmm
YYYY-DDD hh:mm:ss-hh
YYYY-DDDThh:mm:ss-hh
YYYY-DDD hhmmss
YYYY-DDDThhmmss
YYYY-DDD hhmmssZ
YYYY-DDDThhmmssZ
YYYY-DDD hhmmss+hh:mm
YYYY-DDDThhmmss+hh:mm
YYYY-DDD hhmmss+hhmm
YYYY-DDDThhmmss+hhmm
YYYY-DDD hhmmss+hh
YYYY-DDDThhmmss+hh
YYYY-DDD hhmmss-hh:mm
YYYY-DDDThhmmss-hh:mm
YYYY-DDD hhmmss-hhmm
YYYY-DDDThhmmss-hhmm
YYYY-DDD hhmmss-hh
YYYY-DDDThhmmss-hh
YYYY-DDD hh:mm
YYYY-DDDThh:mm
YYYY-DDD hh:mmZ
YYYY-DDDThh:mmZ
YYYY-DDD hh:mm+hh:mm
YYYY-DDDThh:mm+hh:mm
YYYY-DDD hh:mm+hhmm
YYYY-DDDThh:mm+hhmm
YYYY-DDD hh:mm+hh
YYYY-DDDThh:mm+hh
YYYY-DDD hh:mm-hh:mm
YYYY-DDDThh:mm-hh:mm
YYYY-DDD hh:mm-hhmm
YYYY-DDDThh:mm-hhmm
YYYY-DDD hh:mm-hh
YYYY-DDDThh:mm-hh
YYYY-DDD hhmm
YYYY-DDDThhmm
YYYY-DDD hhmmZ
YYYY-DDDThhmmZ
YYYY-DDD hhmm+hh:mm
YYYY-DDDThhmm+hh:mm
YYYY-DDD hhmm+hhmm
YYYY-DDDThhmm+hhmm
YYYY-DDD hhmm+hh
YYYY-DDDThhmm+hh
YYYY-DDD hhmm-hh:mm
YYYY-DDDThhmm-hh:mm
YYYY-DDD hhmm-hhmm
YYYY-DDDThhmm-hhmm
YYYY-DDD hhmm-hh
YYYY-DDDThhmm-hh
YYYY-DDD hh
YYYY-DDDThh
YYYY-DDD hhZ
YYYY-DDDThhZ
YYYY-DDD hh+hh:mm
YYYY-DDDThh+hh:mm
YYYY-DDD hh+hhmm
YYYY-DDDThh+hhmm
YYYY-DDD hh+hh
YYYY-DDDThh+hh
YYYY-DDD hh-hh:mm
YYYY-DDDThh-hh:mm
YYYY-DDD hh-hhmm
YYYY-DDDThh-hhmm
YYYY-DDD hh-hh
YYYY-DDDThh-hh
YYYYDDD
YYYYDDD hh:mm:ss.sss
YYYYDDDThh:mm:ss.sss
YYYYDDD hh:mm:ss.sssZ
YYYYDDDThh:mm:ss.sssZ
YYYYDDD hh:mm:ss.sss+hh:mm
YYYYDDDThh:mm:ss.sss+hh:mm
YYYYDDD hh:mm:ss.sss+hhmm
YYYYDDDThh:mm:ss.sss+hhmm
YYYYDDD hh:mm:ss.sss+hh
YYYYDDDThh:mm:ss.sss+hh
YYYYDDD hh:mm:ss.sss-hh:mm
YYYYDDDThh:mm:ss.sss-hh:mm
YYYYDDD hh:mm:ss.sss-hhmm
YYYYDDDThh:mm:ss.sss-hhmm
YYYYDDD hh:mm:ss.sss-hh
YYYYDDDThh:mm:ss.sss-hh
YYYYDDD hhmmss.sss
YYYYDDDThhmmss.sss
YYYYDDD hhmmss.sssZ
YYYYDDDThhmmss.sssZ
YYYYDDD hhmmss.sss+hh:mm
YYYYDDDThhmmss.sss+hh:mm
YYYYDDD hhmmss.sss+hhmm
YYYYDDDThhmmss.sss+hhmm
YYYYDDD hhmmss.sss+hh
YYYYDDDThhmmss.sss+hh
YYYYDDD hhmmss.sss-hh:mm
YYYYDDDThhmmss.sss-hh:mm
YYYYDDD hhmmss.sss-hhmm
YYYYDDDThhmmss.sss-hhmm
YYYYDDD hhmmss.sss-hh
YYYYDDDThhmmss.sss-hh
YYYYDDD hh:mm:ss
YYYYDDDThh:mm:ss
YYYYDDD hh:mm:ssZ
YYYYDDDThh:mm:ssZ
YYYYDDD hh:mm:ss+hh:mm
YYYYDDDThh:mm:ss+hh:mm
YYYYDDD hh:mm:ss+hhmm
YYYYDDDThh:mm:ss+hhmm
YYYYDDD hh:mm:ss+hh
YYYYDDDThh:mm:ss+hh
YYYYDDD hh:mm:ss-hh:mm
YYYYDDDThh:mm:ss-hh:mm
YYYYDDD hh:mm:ss-hhmm
YYYYDDDThh:mm:ss-hhmm
YYYYDDD hh:mm:ss-hh
YYYYDDDThh:mm:ss-hh
YYYYDDD hhmmss
YYYYDDDThhmmss
YYYYDDD hhmmssZ
YYYYDDDThhmmssZ
YYYYDDD hhmmss+hh:mm
YYYYDDDThhmmss+hh:mm
YYYYDDD hhmmss+hhmm
YYYYDDDThhmmss+hhmm
YYYYDDD hhmmss+hh
YYYYDDDThhmmss+hh
YYYYDDD hhmmss-hh:mm
YYYYDDDThhmmss-hh:mm
YYYYDDD hhmmss-hhmm
YYYYDDDThhmmss-hhmm
YYYYDDD hhmmss-hh
YYYYDDDThhmmss-hh
YYYYDDD hh:mm
YYYYDDDThh:mm
YYYYDDD hh:mmZ
YYYYDDDThh:mmZ
YYYYDDD hh:mm+hh:mm
YYYYDDDThh:mm+hh:mm
YYYYDDD hh:mm+hhmm
YYYYDDDThh:mm+hhmm
YYYYDDD hh:mm+hh
YYYYDDDThh:mm+hh
YYYYDDD hh:mm-hh:mm
YYYYDDDThh:mm-hh:mm
YYYYDDD hh:mm-hhmm
YYYYDDDThh:mm-hhmm
YYYYDDD hh:mm-hh
YYYYDDDThh:mm-hh
YYYYDDD hhmm
YYYYDDDThhmm
YYYYDDD hhmmZ
YYYYDDDThhmmZ
YYYYDDD hhmm+hh:mm
YYYYDDDThhmm+hh:mm
YYYYDDD hhmm+hhmm
YYYYDDDThhmm+hhmm
YYYYDDD hhmm+hh
YYYYDDDThhmm+hh
YYYYDDD hhmm-hh:mm
YYYYDDDThhmm-hh:mm
YYYYDDD hhmm-hhmm
YYYYDDDThhmm-hhmm
YYYYDDD hhmm-hh
YYYYDDDThhmm-hh
YYYYDDD hh
