site,format,count,preferred
sbc,hh:mm:ss,1,false
sbc,HH:MM:SS,17,false
sbc,HH:MM:SSZ,21,false
sbc,mm,7,false
sbc,MM,30,false
sbc,MM-DD-YYYY,6,false
sbc,MM/D/YYYY,1,false
sbc,mm/dd/yy,4,false
sbc,MM/DD/YY,2,false
sbc,mm/dd/yyyy,57,false
sbc,MM/DD/YYYY,14,false
sbc,yyyy,7,false
sbc,YYYY,41,true
sbc,yyyy-mm-dd,47,false
sbc,YYYY-MM-DD,12,true
sbc,YYYY-MM-DDT-8hh:mm,7,false
sbc,YYYY-MM-DDThh:mm,87,true
sbc,YYYY-MM-DDThh:mm-h,11,false
sbc,YYYY-MM-DDThh:mm:ss,2,true
sbc,YYYY-MM-DDThh:mm:ssZ,5,true
sbc,YYYY-MM-DDThh:mmZ,11,true
sbc,YYYYMMDD,28,true
sbc,yyyymmddHHMMSS,16,false
sev,DD,7,false
sev,dd/mm/yyyy,1,false
sev,DD/MM/YYYY,6,false
sev,ddd,1,false
sev,DDD,15,false
sev,hh:mm,2,false
sev,hh:mm:ss,1,false
sev,HH:MM:SS,2,false
sev,hh:mm:ss.s,14,false
sev,hhmm,1,false
sev,HHMM,1,false
sev,hm,2,false
sev,MM,7,false
sev,MM-YY,1,false
sev,MM/DD/YY,22,false
sev,MM/DD/YYThh:mm:ss,6,false
sev,MM/DD/YYYY,36,false
sev,YY,1,false
sev,YYYY,133,true
sev,YYYY-MM-DD,3,true
sev,YYYYMMDD,8,true
sev,YYYYMMDDhhmmss,7,false
